CHR	START	END	ID	LENGTH
1	2049440	2049745	chr1:2049440-2049745	306
1	2091728	2091910	chr1:2091728-2091910	183
1	2131175	2131294	chr1:2131175-2131294	120
1	2135618	2135764	chr1:2135618-2135764	147
1	2194980	2195547	chr1:2194980-2195547	568
1	2199628	2199758	chr1:2199628-2199758	131
1	2311439	2311764	chr1:2311439-2311764	326
1	2315218	2315592	chr1:2315218-2315592	375
1	2381742	2382263	chr1:2381742-2382263	522
1	2382508	2383083	chr1:2382508-2383083	576
1	2414241	2414781	chr1:2414241-2414781	541
1	2430092	2430394	chr1:2430092-2430394	303
1	2515291	2515418	chr1:2515291-2515418	128
1	2523775	2523956	chr1:2523775-2523956	182
1	2531141	2531275	chr1:2531141-2531275	135
1	2547965	2548456	chr1:2547965-2548456	492
1	2578558	2578715	chr1:2578558-2578715	158
1	3012622	3012740	chr1:3012622-3012740	119
1	3453089	3453543	chr1:3453089-3453543	455
1	3454275	3454465	chr1:3454275-3454465	191
1	3471789	3472069	chr1:3471789-3472069	281
1	3482471	3482829	chr1:3482471-3482829	359
1	3483735	3484291	chr1:3483735-3484291	557
1	3491161	3491599	chr1:3491161-3491599	439
1	3518226	3518541	chr1:3518226-3518541	316
1	3530496	3530684	chr1:3530496-3530684	189
1	3565104	3565616	chr1:3565104-3565616	513
1	3615114	3615558	chr1:3615114-3615558	445
1	3619019	3619516	chr1:3619019-3619516	498
1	3625725	3625938	chr1:3625725-3625938	214
1	3703013	3703475	chr1:3703013-3703475	463
1	3708066	3708216	chr1:3708066-3708216	151
1	3724361	3724752	chr1:3724361-3724752	392
1	3727356	3727602	chr1:3727356-3727602	247
1	3775947	3776260	chr1:3775947-3776260	314
1	3785508	3785752	chr1:3785508-3785752	245
1	3857242	3857444	chr1:3857242-3857444	203
1	3858272	3858511	chr1:3858272-3858511	240
1	3910627	3911189	chr1:3910627-3911189	563
1	4652542	4653007	chr1:4652542-4653007	466
1	4656346	4656703	chr1:4656346-4656703	358
1	4778040	4778226	chr1:4778040-4778226	187
1	4826176	4826345	chr1:4826176-4826345	170
1	5509781	5510280	chr1:5509781-5510280	500
1	5514494	5515020	chr1:5514494-5515020	527
1	5621133	5621353	chr1:5621133-5621353	221
1	5637174	5637519	chr1:5637174-5637519	346
1	5745797	5746179	chr1:5745797-5746179	383
1	5752420	5752618	chr1:5752420-5752618	199
1	5916052	5916360	chr1:5916052-5916360	309
1	5939369	5939518	chr1:5939369-5939518	150
1	5975204	5975542	chr1:5975204-5975542	339
1	6034408	6034949	chr1:6034408-6034949	542
1	6035817	6035961	chr1:6035817-6035961	145
1	6041421	6041787	chr1:6041421-6041787	367
1	6052964	6053260	chr1:6052964-6053260	297
1	6080691	6080840	chr1:6080691-6080840	150
1	6099856	6100010	chr1:6099856-6100010	155
1	6105270	6105399	chr1:6105270-6105399	130
1	6108809	6109249	chr1:6108809-6109249	441
1	6141719	6141855	chr1:6141719-6141855	137
1	6171581	6171810	chr1:6171581-6171810	230
1	6183574	6183743	chr1:6183574-6183743	170
1	6245118	6245348	chr1:6245118-6245348	231
1	6343306	6343840	chr1:6343306-6343840	535
1	6347820	6348278	chr1:6347820-6348278	459
1	6394016	6394220	chr1:6394016-6394220	205
1	6397064	6397366	chr1:6397064-6397366	303
1	6404737	6404998	chr1:6404737-6404998	262
1	6414281	6414624	chr1:6414281-6414624	344
1	6472418	6472817	chr1:6472418-6472817	400
1	6483123	6483287	chr1:6483123-6483287	165
1	6486318	6486868	chr1:6486318-6486868	551
1	6489801	6490207	chr1:6489801-6490207	407
1	6513392	6513516	chr1:6513392-6513516	125
1	6523645	6523939	chr1:6523645-6523939	295
1	6547404	6547522	chr1:6547404-6547522	119
1	6580923	6581081	chr1:6580923-6581081	159
1	6584244	6584364	chr1:6584244-6584364	121
1	6599454	6599578	chr1:6599454-6599578	125
1	6609686	6609817	chr1:6609686-6609817	132
1	6634611	6634999	chr1:6634611-6634999	389
1	6646536	6646806	chr1:6646536-6646806	271
1	6701782	6702125	chr1:6701782-6702125	344
1	6719880	6720306	chr1:6719880-6720306	427
1	6727428	6727861	chr1:6727428-6727861	434
1	7808339	7808573	chr1:7808339-7808573	235
1	7942380	7942591	chr1:7942380-7942591	212
1	7961320	7961632	chr1:7961320-7961632	313
1	7975189	7975689	chr1:7975189-7975689	501
1	7982284	7982697	chr1:7982284-7982697	414
1	8015016	8015344	chr1:8015016-8015344	329
1	8031291	8031506	chr1:8031291-8031506	216
1	8061677	8061834	chr1:8061677-8061834	158
1	8174506	8174705	chr1:8174506-8174705	200
1	8238973	8239222	chr1:8238973-8239222	250
1	8314282	8314728	chr1:8314282-8314728	447
1	8315961	8316155	chr1:8315961-8316155	195
1	8348897	8349496	chr1:8348897-8349496	600
1	8351690	8352136	chr1:8351690-8352136	447
1	8374818	8375146	chr1:8374818-8375146	329
1	8398764	8398904	chr1:8398764-8398904	141
1	8409073	8409552	chr1:8409073-8409552	480
1	8439605	8439728	chr1:8439605-8439728	124
1	8551098	8551360	chr1:8551098-8551360	263
1	8561058	8561417	chr1:8561058-8561417	360
1	8571261	8571421	chr1:8571261-8571421	161
1	8598032	8598422	chr1:8598032-8598422	391
1	8671312	8671645	chr1:8671312-8671645	334
1	8726494	8726806	chr1:8726494-8726806	313
1	8831452	8831589	chr1:8831452-8831589	138
1	8848861	8849439	chr1:8848861-8849439	579
1	8859474	8859722	chr1:8859474-8859722	249
1	8862470	8862856	chr1:8862470-8862856	387
1	8871578	8871884	chr1:8871578-8871884	307
1	8918169	8918480	chr1:8918169-8918480	312
1	8962958	8963286	chr1:8962958-8963286	329
1	8993481	8993594	chr1:8993481-8993594	114
1	9005086	9005576	chr1:9005086-9005576	491
1	9009984	9010358	chr1:9009984-9010358	375
1	9058595	9058800	chr1:9058595-9058800	206
1	9101559	9101936	chr1:9101559-9101936	378
1	9110067	9110233	chr1:9110067-9110233	167
1	9110711	9111198	chr1:9110711-9111198	488
1	9128687	9128871	chr1:9128687-9128871	185
1	9142238	9142567	chr1:9142238-9142567	330
1	9198721	9198849	chr1:9198721-9198849	129
1	9234252	9234665	chr1:9234252-9234665	414
1	9250032	9250342	chr1:9250032-9250342	311
1	9267148	9267562	chr1:9267148-9267562	415
1	9280709	9280844	chr1:9280709-9280844	136
1	9289078	9289325	chr1:9289078-9289325	248
1	9295093	9295342	chr1:9295093-9295342	250
1	9428695	9428897	chr1:9428695-9428897	203
1	9455822	9456287	chr1:9455822-9456287	466
1	9491091	9491436	chr1:9491091-9491436	346
1	9495071	9495525	chr1:9495071-9495525	455
1	9573031	9573155	chr1:9573031-9573155	125
1	9573746	9574016	chr1:9573746-9574016	271
1	9588490	9588702	chr1:9588490-9588702	213
1	9593860	9594388	chr1:9593860-9594388	529
1	9615609	9615974	chr1:9615609-9615974	366
1	9626922	9627314	chr1:9626922-9627314	393
1	9690183	9690354	chr1:9690183-9690354	172
1	9702272	9702521	chr1:9702272-9702521	250
1	9721803	9722070	chr1:9721803-9722070	268
1	9784557	9784946	chr1:9784557-9784946	390
1	9792284	9792462	chr1:9792284-9792462	179
1	9825492	9825657	chr1:9825492-9825657	166
1	9827958	9828254	chr1:9827958-9828254	297
1	9867451	9867876	chr1:9867451-9867876	426
1	9874839	9875283	chr1:9874839-9875283	445
1	9914461	9914699	chr1:9914461-9914699	239
1	9942363	9942681	chr1:9942363-9942681	319
1	9950357	9950707	chr1:9950357-9950707	351
1	10032429	10032765	chr1:10032429-10032765	337
1	10034500	10034693	chr1:10034500-10034693	194
1	10152959	10153265	chr1:10152959-10153265	307
1	10209913	10210499	chr1:10209913-10210499	587
1	10338078	10338341	chr1:10338078-10338341	264
1	10377310	10377676	chr1:10377310-10377676	367
1	10428007	10428399	chr1:10428007-10428399	393
1	10430125	10430464	chr1:10430125-10430464	340
1	10507250	10507818	chr1:10507250-10507818	569
1	10514419	10514770	chr1:10514419-10514770	352
1	10530283	10530651	chr1:10530283-10530651	369
1	10562096	10562273	chr1:10562096-10562273	178
1	10586306	10586423	chr1:10586306-10586423	118
1	10636037	10636213	chr1:10636037-10636213	177
1	10825069	10825182	chr1:10825069-10825182	114
1	10867201	10867669	chr1:10867201-10867669	469
1	10909978	10910219	chr1:10909978-10910219	242
1	10960934	10961462	chr1:10960934-10961462	529
1	10980344	10980614	chr1:10980344-10980614	271
1	11037559	11038003	chr1:11037559-11038003	445
1	11060083	11060270	chr1:11060083-11060270	188
1	11272784	11272921	chr1:11272784-11272921	138
1	11286046	11286214	chr1:11286046-11286214	169
1	11286325	11286527	chr1:11286325-11286527	203
1	11316915	11317028	chr1:11316915-11317028	114
1	11320197	11320462	chr1:11320197-11320462	266
1	11337573	11337868	chr1:11337573-11337868	296
1	11364249	11364475	chr1:11364249-11364475	227
1	11454094	11454242	chr1:11454094-11454242	149
1	11478744	11478875	chr1:11478744-11478875	132
1	11572215	11572443	chr1:11572215-11572443	229
1	11594248	11594437	chr1:11594248-11594437	190
1	11617412	11617582	chr1:11617412-11617582	171
1	11642393	11642740	chr1:11642393-11642740	348
1	11645743	11646127	chr1:11645743-11646127	385
1	11650377	11650705	chr1:11650377-11650705	329
1	11664045	11664313	chr1:11664045-11664313	269
1	11711130	11711476	chr1:11711130-11711476	347
1	11719689	11720249	chr1:11719689-11720249	561
1	11749256	11749508	chr1:11749256-11749508	253
1	11785072	11785664	chr1:11785072-11785664	593
1	11838504	11839062	chr1:11838504-11839062	559
1	11865563	11865822	chr1:11865563-11865822	260
1	11893908	11894339	chr1:11893908-11894339	432
1	11907697	11907986	chr1:11907697-11907986	290
1	11967121	11967576	chr1:11967121-11967576	456
1	12001741	12001879	chr1:12001741-12001879	139
1	12014252	12014544	chr1:12014252-12014544	293
1	12031264	12031542	chr1:12031264-12031542	279
1	12053413	12053526	chr1:12053413-12053526	114
1	12079628	12079867	chr1:12079628-12079867	240
1	12106891	12107092	chr1:12106891-12107092	202
1	12118582	12118898	chr1:12118582-12118898	317
1	12124833	12125185	chr1:12124833-12125185	353
1	12196698	12196922	chr1:12196698-12196922	225
1	12208814	12209277	chr1:12208814-12209277	464
1	12229641	12230054	chr1:12229641-12230054	414
1	12232721	12232852	chr1:12232721-12232852	132
1	12244203	12244387	chr1:12244203-12244387	185
1	12272158	12272362	chr1:12272158-12272362	205
1	12275427	12275753	chr1:12275427-12275753	327
1	12276265	12276599	chr1:12276265-12276599	335
1	12407518	12407710	chr1:12407518-12407710	193
1	12601260	12601651	chr1:12601260-12601651	392
1	12619848	12620241	chr1:12619848-12620241	394
1	12658997	12659445	chr1:12658997-12659445	449
1	13422647	13422844	chr1:13422647-13422844	198
1	13517353	13517481	chr1:13517353-13517481	129
1	13543955	13544261	chr1:13543955-13544261	307
1	13664288	13664423	chr1:13664288-13664423	136
1	13665620	13666069	chr1:13665620-13666069	450
1	13825185	13825308	chr1:13825185-13825308	124
1	13828746	13829222	chr1:13828746-13829222	477
1	13960353	13960794	chr1:13960353-13960794	442
1	13965873	13966131	chr1:13965873-13966131	259
1	14095078	14095337	chr1:14095078-14095337	260
1	14113766	14114223	chr1:14113766-14114223	458
1	14138683	14138850	chr1:14138683-14138850	168
1	14149527	14149712	chr1:14149527-14149712	186
1	14538472	14538591	chr1:14538472-14538591	120
1	14606645	14606943	chr1:14606645-14606943	299
1	14731751	14732310	chr1:14731751-14732310	560
1	14779091	14779491	chr1:14779091-14779491	401
1	14787732	14787845	chr1:14787732-14787845	114
1	14804745	14804971	chr1:14804745-14804971	227
1	14833615	14833935	chr1:14833615-14833935	321
1	14850689	14850929	chr1:14850689-14850929	241
1	14915261	14915838	chr1:14915261-14915838	578
1	15027396	15027959	chr1:15027396-15027959	564
1	15033447	15033605	chr1:15033447-15033605	159
1	15046560	15046980	chr1:15046560-15046980	421
1	15062464	15062808	chr1:15062464-15062808	345
1	15128468	15128962	chr1:15128468-15128962	495
1	15152273	15152741	chr1:15152273-15152741	469
1	15154145	15154544	chr1:15154145-15154544	400
1	15272523	15272954	chr1:15272523-15272954	432
1	15283554	15283861	chr1:15283554-15283861	308
1	15288282	15288400	chr1:15288282-15288400	119
1	15304658	15305204	chr1:15304658-15305204	547
1	15323346	15323941	chr1:15323346-15323941	596
1	15329218	15329333	chr1:15329218-15329333	116
1	15364851	15364989	chr1:15364851-15364989	139
1	15431053	15431527	chr1:15431053-15431527	475
1	15595171	15595415	chr1:15595171-15595415	245
1	15684974	15685087	chr1:15684974-15685087	114
1	15703198	15703417	chr1:15703198-15703417	220
1	15741271	15741744	chr1:15741271-15741744	474
1	15791950	15792388	chr1:15791950-15792388	439
1	15815433	15815835	chr1:15815433-15815835	403
1	15830401	15830517	chr1:15830401-15830517	117
1	15957508	15957788	chr1:15957508-15957788	281
1	15994574	15994863	chr1:15994574-15994863	290
1	16007147	16007380	chr1:16007147-16007380	234
1	16032808	16033186	chr1:16032808-16033186	379
1	16056052	16056475	chr1:16056052-16056475	424
1	16073001	16073216	chr1:16073001-16073216	216
1	16073577	16073793	chr1:16073577-16073793	217
1	16078875	16079307	chr1:16078875-16079307	433
1	16082171	16082750	chr1:16082171-16082750	580
1	16187686	16188160	chr1:16187686-16188160	475
1	16205083	16205269	chr1:16205083-16205269	187
1	16236201	16236476	chr1:16236201-16236476	276
1	16244395	16244817	chr1:16244395-16244817	423
1	16290101	16290250	chr1:16290101-16290250	150
1	16352515	16352665	chr1:16352515-16352665	151
1	16363381	16363679	chr1:16363381-16363679	299
1	16440396	16440852	chr1:16440396-16440852	457
1	16709803	16710032	chr1:16709803-16710032	230
1	16909837	16910095	chr1:16909837-16910095	259
1	16924995	16925224	chr1:16924995-16925224	230
1	16925630	16925854	chr1:16925630-16925854	225
1	16960580	16960930	chr1:16960580-16960930	351
1	16963439	16963801	chr1:16963439-16963801	363
1	16987051	16987301	chr1:16987051-16987301	251
1	17005094	17005224	chr1:17005094-17005224	131
1	17059518	17060023	chr1:17059518-17060023	506
1	17075495	17075743	chr1:17075495-17075743	249
1	17125699	17126234	chr1:17125699-17126234	536
1	17212199	17212325	chr1:17212199-17212325	127
1	17236948	17237524	chr1:17236948-17237524	577
1	17237772	17237902	chr1:17237772-17237902	131
1	17265194	17265378	chr1:17265194-17265378	185
1	17274204	17274575	chr1:17274204-17274575	372
1	17289649	17289801	chr1:17289649-17289801	153
1	17336058	17336648	chr1:17336058-17336648	591
1	17339271	17339388	chr1:17339271-17339388	118
1	17370594	17370908	chr1:17370594-17370908	315
1	17406144	17406689	chr1:17406144-17406689	546
1	17419689	17420266	chr1:17419689-17420266	578
1	17441754	17441925	chr1:17441754-17441925	172
1	17477392	17477819	chr1:17477392-17477819	428
1	17485391	17485665	chr1:17485391-17485665	275
1	17494142	17494684	chr1:17494142-17494684	543
1	17502171	17502756	chr1:17502171-17502756	586
1	17507994	17508212	chr1:17507994-17508212	219
1	18100531	18100832	chr1:18100531-18100832	302
1	18234860	18235058	chr1:18234860-18235058	199
1	18299813	18299986	chr1:18299813-18299986	174
1	18556429	18556658	chr1:18556429-18556658	230
1	18575546	18575965	chr1:18575546-18575965	420
1	18581430	18581755	chr1:18581430-18581755	326
1	18584864	18585035	chr1:18584864-18585035	172
1	18597321	18597830	chr1:18597321-18597830	510
1	18674055	18674287	chr1:18674055-18674287	233
1	18681354	18681710	chr1:18681354-18681710	357
1	18794650	18794775	chr1:18794650-18794775	126
1	18820731	18821189	chr1:18820731-18821189	459
1	18884036	18884520	chr1:18884036-18884520	485
1	18950167	18950351	chr1:18950167-18950351	185
1	18972603	18972780	chr1:18972603-18972780	178
1	19012403	19012602	chr1:19012403-19012602	200
1	19029564	19029742	chr1:19029564-19029742	179
1	19096242	19096628	chr1:19096242-19096628	387
1	19113598	19113957	chr1:19113598-19113957	360
1	19179604	19179824	chr1:19179604-19179824	221
1	19232568	19232704	chr1:19232568-19232704	137
1	19241125	19241553	chr1:19241125-19241553	429
1	19338339	19338700	chr1:19338339-19338700	362
1	19341446	19341952	chr1:19341446-19341952	507
1	19344273	19344749	chr1:19344273-19344749	477
1	19353566	19353838	chr1:19353566-19353838	273
1	19361242	19361355	chr1:19361242-19361355	114
1	19374347	19374654	chr1:19374347-19374654	308
1	19391288	19391738	chr1:19391288-19391738	451
1	19398541	19398722	chr1:19398541-19398722	182
1	19405267	19405472	chr1:19405267-19405472	206
1	19445808	19446062	chr1:19445808-19446062	255
1	19487788	19488104	chr1:19487788-19488104	317
1	19582272	19582580	chr1:19582272-19582580	309
1	19640779	19640950	chr1:19640779-19640950	172
1	19643134	19643385	chr1:19643134-19643385	252
1	19648735	19649121	chr1:19648735-19649121	387
1	19651244	19651492	chr1:19651244-19651492	249
1	19653583	19654060	chr1:19653583-19654060	478
1	19659761	19660137	chr1:19659761-19660137	377
1	19661804	19662105	chr1:19661804-19662105	302
1	19704430	19704952	chr1:19704430-19704952	523
1	19715591	19716037	chr1:19715591-19716037	447
1	19737303	19737629	chr1:19737303-19737629	327
1	19799507	19799733	chr1:19799507-19799733	227
1	19811312	19811657	chr1:19811312-19811657	346
1	19881988	19882504	chr1:19881988-19882504	517
1	19917810	19918392	chr1:19917810-19918392	583
1	19974785	19975114	chr1:19974785-19975114	330
1	20100817	20101277	chr1:20100817-20101277	461
1	20152306	20152834	chr1:20152306-20152834	529
1	20165534	20165711	chr1:20165534-20165711	178
1	20187218	20187436	chr1:20187218-20187436	219
1	20195174	20195535	chr1:20195174-20195535	362
1	20195574	20195716	chr1:20195574-20195716	143
1	20212710	20213246	chr1:20212710-20213246	537
1	20216712	20216918	chr1:20216712-20216918	207
1	20233480	20233678	chr1:20233480-20233678	199
1	20361737	20362186	chr1:20361737-20362186	450
1	20367190	20367492	chr1:20367190-20367492	303
1	20376711	20377259	chr1:20376711-20377259	549
1	20430382	20430926	chr1:20430382-20430926	545
1	20522306	20522713	chr1:20522306-20522713	408
1	20575292	20575672	chr1:20575292-20575672	381
1	20633102	20633504	chr1:20633102-20633504	403
1	20640115	20640665	chr1:20640115-20640665	551
1	20661345	20661657	chr1:20661345-20661657	313
1	20702475	20702730	chr1:20702475-20702730	256
1	20732967	20733381	chr1:20732967-20733381	415
1	20982029	20982191	chr1:20982029-20982191	163
1	21195152	21195496	chr1:21195152-21195496	345
1	21216896	21217188	chr1:21216896-21217188	293
1	21217966	21218192	chr1:21217966-21218192	227
1	21231959	21232308	chr1:21231959-21232308	350
1	21245086	21245357	chr1:21245086-21245357	272
1	21255068	21255631	chr1:21255068-21255631	564
1	21270103	21270600	chr1:21270103-21270600	498
1	21322017	21322135	chr1:21322017-21322135	119
1	21329656	21329782	chr1:21329656-21329782	127
1	21334680	21335121	chr1:21334680-21335121	442
1	21368423	21368992	chr1:21368423-21368992	570
1	21370603	21370951	chr1:21370603-21370951	349
1	21488821	21488934	chr1:21488821-21488934	114
1	21490845	21491166	chr1:21490845-21491166	322
1	21508901	21509066	chr1:21508901-21509066	166
1	21509121	21509324	chr1:21509121-21509324	204
1	21511332	21511470	chr1:21511332-21511470	139
1	21534777	21535167	chr1:21534777-21535167	391
1	21539937	21540160	chr1:21539937-21540160	224
1	21574128	21574387	chr1:21574128-21574387	260
1	21595522	21595980	chr1:21595522-21595980	459
1	21655750	21656015	chr1:21655750-21656015	266
1	21659148	21659403	chr1:21659148-21659403	256
1	21703347	21703649	chr1:21703347-21703649	303
1	21782448	21782734	chr1:21782448-21782734	287
1	21814557	21814807	chr1:21814557-21814807	251
1	21939646	21940080	chr1:21939646-21940080	435
1	21963961	21964338	chr1:21963961-21964338	378
1	21982131	21982322	chr1:21982131-21982322	192
1	22019266	22019599	chr1:22019266-22019599	334
1	22039648	22039802	chr1:22039648-22039802	155
1	22053452	22053571	chr1:22053452-22053571	120
1	22105581	22106020	chr1:22105581-22106020	440
1	22131842	22132303	chr1:22131842-22132303	462
1	22208375	22208583	chr1:22208375-22208583	209
1	22317359	22317574	chr1:22317359-22317574	216
1	22416549	22417016	chr1:22416549-22417016	468
1	22420372	22420857	chr1:22420372-22420857	486
1	22642024	22642561	chr1:22642024-22642561	538
1	22654684	22654863	chr1:22654684-22654863	180
1	22665823	22666081	chr1:22665823-22666081	259
1	22674086	22674464	chr1:22674086-22674464	379
1	22704318	22704830	chr1:22704318-22704830	513
1	22709353	22709502	chr1:22709353-22709502	150
1	22731957	22732142	chr1:22731957-22732142	186
1	22830339	22830611	chr1:22830339-22830611	273
1	22862022	22862569	chr1:22862022-22862569	548
1	22889166	22889682	chr1:22889166-22889682	517
1	22930288	22930721	chr1:22930288-22930721	434
1	22964255	22964733	chr1:22964255-22964733	479
1	23019233	23019427	chr1:23019233-23019427	195
1	23079558	23079685	chr1:23079558-23079685	128
1	23081449	23081755	chr1:23081449-23081755	307
1	23098675	23099094	chr1:23098675-23099094	420
1	23179064	23179207	chr1:23179064-23179207	144
1	23184703	23185101	chr1:23184703-23185101	399
1	23198447	23198563	chr1:23198447-23198563	117
1	23210360	23210609	chr1:23210360-23210609	250
1	23216732	23216945	chr1:23216732-23216945	214
1	23403910	23404364	chr1:23403910-23404364	455
1	23483451	23483746	chr1:23483451-23483746	296
1	23497093	23497439	chr1:23497093-23497439	347
1	23528289	23528414	chr1:23528289-23528414	126
1	23531381	23531581	chr1:23531381-23531581	201
1	23539758	23540216	chr1:23539758-23540216	459
1	23544676	23545064	chr1:23544676-23545064	389
1	23555035	23555191	chr1:23555035-23555191	157
1	23634765	23635296	chr1:23634765-23635296	532
1	23637469	23637963	chr1:23637469-23637963	495
1	23657660	23658054	chr1:23657660-23658054	395
1	23665316	23665505	chr1:23665316-23665505	190
1	23691471	23691883	chr1:23691471-23691883	413
1	23718538	23718836	chr1:23718538-23718836	299
1	23745631	23745864	chr1:23745631-23745864	234
1	23751307	23751729	chr1:23751307-23751729	423
1	23772079	23772559	chr1:23772079-23772559	481
1	23791599	23791743	chr1:23791599-23791743	145
1	23796837	23796973	chr1:23796837-23796973	137
1	23809742	23810117	chr1:23809742-23810117	376
1	23810785	23811148	chr1:23810785-23811148	364
1	23868286	23868674	chr1:23868286-23868674	389
1	23868746	23868868	chr1:23868746-23868868	123
1	23916837	23917171	chr1:23916837-23917171	335
1	23958949	23959204	chr1:23958949-23959204	256
1	23980207	23980450	chr1:23980207-23980450	244
1	24028083	24028416	chr1:24028083-24028416	334
1	24070796	24071382	chr1:24070796-24071382	587
1	24075409	24075569	chr1:24075409-24075569	161
1	24112463	24112874	chr1:24112463-24112874	412
1	24150315	24150801	chr1:24150315-24150801	487
1	24155468	24155680	chr1:24155468-24155680	213
1	24158062	24158175	chr1:24158062-24158175	114
1	24199215	24199732	chr1:24199215-24199732	518
1	24203567	24203741	chr1:24203567-24203741	175
1	24286682	24286853	chr1:24286682-24286853	172
1	24294723	24295056	chr1:24294723-24295056	334
1	24308783	24308951	chr1:24308783-24308951	169
1	24317267	24317484	chr1:24317267-24317484	218
1	24321360	24321490	chr1:24321360-24321490	131
1	24323464	24323588	chr1:24323464-24323588	125
1	24385236	24385543	chr1:24385236-24385543	308
1	24390005	24390455	chr1:24390005-24390455	451
1	24391230	24391654	chr1:24391230-24391654	425
1	24392313	24392715	chr1:24392313-24392715	403
1	24415265	24415820	chr1:24415265-24415820	556
1	24421642	24421762	chr1:24421642-24421762	121
1	24527292	24527512	chr1:24527292-24527512	221
1	24542055	24542317	chr1:24542055-24542317	263
1	24568159	24568327	chr1:24568159-24568327	169
1	24587179	24587527	chr1:24587179-24587527	349
1	24593584	24593820	chr1:24593584-24593820	237
1	24635286	24635532	chr1:24635286-24635532	247
1	24642482	24642619	chr1:24642482-24642619	138
1	24688520	24689013	chr1:24688520-24689013	494
1	24744884	24745025	chr1:24744884-24745025	142
1	24830723	24831024	chr1:24830723-24831024	302
1	24835028	24835266	chr1:24835028-24835266	239
1	24847896	24848274	chr1:24847896-24848274	379
1	24849666	24849960	chr1:24849666-24849960	295
1	24862265	24862494	chr1:24862265-24862494	230
1	24897976	24898494	chr1:24897976-24898494	519
1	24909601	24909863	chr1:24909601-24909863	263
1	24932321	24932486	chr1:24932321-24932486	166
1	24934719	24934846	chr1:24934719-24934846	128
1	24970473	24970709	chr1:24970473-24970709	237
1	25037164	25037692	chr1:25037164-25037692	529
1	25037800	25038067	chr1:25037800-25038067	268
1	25101418	25101838	chr1:25101418-25101838	421
1	25117485	25117811	chr1:25117485-25117811	327
1	25148763	25149015	chr1:25148763-25149015	253
1	25204893	25205223	chr1:25204893-25205223	331
1	25239835	25240247	chr1:25239835-25240247	413
1	25487538	25487844	chr1:25487538-25487844	307
1	25501872	25502002	chr1:25501872-25502002	131
1	25503838	25504150	chr1:25503838-25504150	313
1	25520474	25520924	chr1:25520474-25520924	451
1	25523611	25523833	chr1:25523611-25523833	223
1	25568384	25568544	chr1:25568384-25568544	161
1	25608625	25608941	chr1:25608625-25608941	317
1	25610945	25611140	chr1:25610945-25611140	196
1	25616191	25616351	chr1:25616191-25616351	161
1	25619146	25619352	chr1:25619146-25619352	207
1	25692658	25692916	chr1:25692658-25692916	259
1	25697546	25697752	chr1:25697546-25697752	207
1	25744116	25744498	chr1:25744116-25744498	383
1	25755004	25755154	chr1:25755004-25755154	151
1	25796766	25797214	chr1:25796766-25797214	449
1	25797966	25798330	chr1:25797966-25798330	365
1	25818089	25818490	chr1:25818089-25818490	402
1	25837269	25837649	chr1:25837269-25837649	381
1	25871931	25872073	chr1:25871931-25872073	143
